,announcement_id,type_source,estate_type,price,price_m2,area,room_count,meuble,postal_code,lat,lon,description,collected_date,data_source,type_owner,target
0,slg_182207265,sales,Appartement,314500.0,14473.0,21.730118151039868,2.0,False,75020,48.863457789,2.401155799,"Duplex
GAMBETTA/PELLEPORT - DUPLEX ENSOLEILLÉ- COMME UNE MAISON EN DERNIER ÉTAGE!- Au coeur d'un quartier recherché pour ses commerces, transports et commodités - Au 4ème et dernier étage d'une petite copropriété dans l'ancien - Au premier niveau de ce DUPLEX de 36,75 m² au sol (21,73 m² LC), un JOLI ESPACE DE VIE (séjour et cuisine US aménagée) parqueté",2022-03-09,seloger,0,1
1,slg_182907879,sales,Appartement,329700.0,4579.0,72.00262065953265,3.0,False,78180,48.779791576,2.02991435,"Appartement
Appartement à vendre - KEYMEX a le plaisir de vous présenter ce très bel appartement traversant NICHE DANS UN ECRIN DE VERDURE au sein d'une résidence de standing sécurisée de Montigny Le Bretonneux Village. Vous découvrirez une entrée avec placard, une vaste pièce de vie lumineuse (EXPOSITION SUD) ouvrant sur une TERRASSE ARBOREE PRIVATIVE SANS [...]",2022-03-10,seloger,0,2
